code_family,method,target_only,n_runs,target_distance,median_ler,q1_ler,q3_ler,min_ler,max_ler
"[[1225,49]]",beam,True,7,11,0.0017328,0.0016531,0.0017806,0.0015482,0.0018816
"[[1225,49]]",greedy,True,3,11,0.0018884,0.0018262999999999999,0.0019573,0.0017642,0.0020262
"[[1600,64]]",beam,True,10,12,0.0013920999999999998,0.00133875,0.0014418,0.0011856,0.0015504
"[[1600,64]]",greedy,True,10,12,0.0014061999999999998,0.0013688,0.00147505,0.0012688,0.0014998
"[[2025,81]]",beam,True,10,12,0.0009511,0.0008834,0.0009883000000000001,0.0008496,0.0010344
"[[2025,81]]",greedy,True,10,12,0.0009128999999999999,0.0008872000000000001,0.0009916500000000002,0.000859,0.0011156
"[[625,25]]",beam,True,9,9,0.0033904,0.0032996,0.0040012,0.0032116,0.0049286
"[[625,25]]",greedy,True,4,9,0.0033098,0.0030478,0.00359955,0.002944,0.0037866
