code,method,group,distance,ler,ler_std,runtime,runtime_seconds,selected_run,selected_hdf5_row,source_file,evaluation_source,reeval_status,reeval_runtime_seconds,reeval_completed_runs,reeval_failures,reeval_timestamp_utc,reeval_selection_policy
"[[625,25]]",Weighted score | greedy,This work,9,0.0030824,2.4790721751574256e-05,12m 11s,730.93,8,435,logical_guided_greedy_absolute_score_gamma01_slack1_C0_run8.hdf5,"5,000,000-trial reevaluation",complete,1321.1085572242737,5000000,15412,20260617T220616Z,distance_then_ler
"[[625,25]]",Weighted score | beam,This work,9,0.0032996,2.5646494097956775e-05,1h 1m 47s,3706.99,1,1337,logical_guided_beam_absolute_score_gamma01_slack1_C0_run1.hdf5,"5,000,000-trial reevaluation",complete,1924.6812720298767,5000000,16498,20260616T011419Z,distance_then_ler
"[[1225,49]]",Weighted score | greedy,This work,11,0.0018884,1.941563453718093e-05,17m 30s,1049.88,2,842,logical_guided_greedy_absolute_score_gamma01_slack1_C1_run2.hdf5,"5,000,000-trial reevaluation",complete,6119.173572540283,5000000,9442,20260616T023248Z,distance_then_ler
"[[1225,49]]",Weighted score | beam,This work,11,0.0015958,1.7850791248629558e-05,37m 1s,2220.55,7,3759,logical_guided_beam_absolute_score_gamma01_slack1_C1_run7.hdf5,"5,000,000-trial reevaluation",complete,3921.407580137253,5000000,7979,20260617T223637Z,distance_then_ler
"[[1600,64]]",Weighted score | greedy,This work,12,0.0012688,1.5919738691310734e-05,16m 28s,988.27,7,677,logical_guided_greedy_absolute_score_gamma01_slack1_C2_run7.hdf5,"5,000,000-trial reevaluation",complete,6326.606803894043,5000000,6344,20260617T223637Z,distance_then_ler
"[[1600,64]]",Weighted score | beam,This work,12,0.0011856,1.5389571725547907e-05,46m 4s,2763.66,10,1436,logical_guided_beam_absolute_score_gamma01_slack1_C2_run10.hdf5,"5,000,000-trial reevaluation",complete,5027.80810046196,5000000,5928,20260617T223638Z,distance_then_ler
"[[2025,81]]",Weighted score | greedy,This work,12,0.0009076,1.3466821774979341e-05,26m 43s,1602.71,2,522,logical_guided_greedy_absolute_score_gamma01_slack1_C3_run2.hdf5,"5,000,000-trial reevaluation",complete,7829.037816286087,5000000,4538,20260617T223638Z,distance_then_ler
"[[2025,81]]",Weighted score | beam,This work,12,0.0009266,1.3606921750258724e-05,1h 59m 35s,7175.11,2,3845,logical_guided_beam_absolute_score_gamma01_slack1_C3_run2.hdf5,"5,000,000-trial reevaluation",complete,5918.382618665695,5000000,4633,20260617T223638Z,distance_then_ler
