status,code_index,code_family,initial_file,p,budget,workers,batch_size,n_classical,k_classical,d_classical,n_T_classical,k_T_classical,d_T_classical,rank_H,n_quantum,k_quantum,d_quantum,ler,stderr,failures,completed_runs,early_stopped,eval_runtime_seconds,wall_runtime_seconds,hdf5_group,error
ok,0,"[625,25]","optimization/initial_codes/HGP_(3,4)_[625,25].txt",0.03,1000000,32,50000,20,5,6,15,0,inf,15,625,25,6,0.011986,0.00010882255118470452,11986,1000000,False,82.7444429397583,83.39503693580627,"/[625,25]/initial_eval_p0p03_budget1000000_20260617_175450",
ok,1,"[1225,49]","optimization/initial_codes/HGP_(3,4)_[1225,49].txt",0.03,1000000,32,50000,28,7,6,21,0,inf,21,1225,49,6,0.017719,0.0001319282170123376,17719,1000000,False,138.2065532207489,140.40108966827393,"/[1225,49]/initial_eval_p0p03_budget1000000_20260617_175450",
ok,2,"[1600,64]","optimization/initial_codes/HGP_(3,4)_[1600,64].txt",0.03,1000000,32,50000,32,8,6,24,0,inf,24,1600,64,6,0.012625,0.00011164954921817563,12625,1000000,False,186.9345920085907,190.80632495880127,"/[1600,64]/initial_eval_p0p03_budget1000000_20260617_175450",
ok,3,"[2025,81]","optimization/initial_codes/HGP_(3,4)_[2025,81].txt",0.03,1000000,32,50000,36,9,10,27,0,inf,27,2025,81,10,0.002042,4.5142355652228366e-05,2042,1000000,False,248.96384000778198,255.13264799118042,"/[2025,81]/initial_eval_p0p03_budget1000000_20260617_175450",
