status,code_index,code_family,initial_file,p,budget,workers,batch_size,n_classical,k_classical,d_classical,n_T_classical,k_T_classical,d_T_classical,rank_H,n_quantum,k_quantum,d_quantum,ler,stderr,failures,completed_runs,early_stopped,eval_runtime_seconds,wall_runtime_seconds,hdf5_group,error
ok,0,"[625,25]","optimization/initial_codes/HGP_(3,4)_[625,25].txt",0.03,100000,32,10000,20,5,6,15,0,inf,15,625,25,6,0.01187,0.00034247949416284646,1187,100000,False,28.412824869155884,29.039215087890625,"/[625,25]/initial_eval_p0p03_budget100000_20260617_174937",
ok,1,"[1225,49]","optimization/initial_codes/HGP_(3,4)_[1225,49].txt",0.03,100000,32,10000,28,7,6,21,0,inf,21,1225,49,6,0.01788,0.0004190522784189587,1788,100000,False,34.85451602935791,36.96681594848633,"/[1225,49]/initial_eval_p0p03_budget100000_20260617_174937",
ok,2,"[1600,64]","optimization/initial_codes/HGP_(3,4)_[1600,64].txt",0.03,100000,32,10000,32,8,6,24,0,inf,24,1600,64,6,0.01277,0.00035506412337114125,1277,100000,False,40.510608196258545,44.257988691329956,"/[1600,64]/initial_eval_p0p03_budget100000_20260617_174937",
ok,3,"[2025,81]","optimization/initial_codes/HGP_(3,4)_[2025,81].txt",0.03,100000,32,10000,36,9,10,27,0,inf,27,2025,81,10,0.00196,0.00013986343202494414,196,100000,False,46.81339979171753,52.73312282562256,"/[2025,81]/initial_eval_p0p03_budget100000_20260617_174937",
