idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
82,2,1,12,0.00132,0.00011481597374528624,14,68,20,20.48
83,2,1,12,0.00136,0.0001165402926733847,14,76,16,16.6
84,2,1,12,0.00132,0.00011481597374528624,14,82,25,25.57
85,2,1,12,0.00109,0.00010434667163967822,14,73,17,17.56
86,2,1,12,0.00132,0.00011481597374528624,14,78,15,15.63
87,2,1,12,0.00122,0.00011038676484243264,14,77,15,15.620000000000001
88,2,1,12,0.00112,0.0001057712998675858,14,81,14,14.67
89,2,1,12,0.00115,0.00010717690921508551,14,76,16,16.6
90,2,1,12,0.00131,0.00011438081058332422,14,77,17,17.6
91,2,1,12,0.00111,0.00010529857490915428,14,73,14,14.59
92,2,1,12,0.00102,0.00010094403348875538,14,77,16,16.61
93,2,1,12,0.00111,0.00010529857490915428,14,74,16,16.58
94,2,1,12,0.0014150992118827017,0.00012081513568134413,14,73,19,19.54
95,2,1,12,0.00119,0.00010902274010305648,14,70,16,16.54
96,2,1,12,0.00123,0.00011083769146792301,14,82,19,19.63
97,2,1,12,0.00109,0.00010434667163967822,14,78,15,15.63
98,2,1,12,0.00107,0.00010338596561709362,14,74,20,20.54
99,2,1,12,0.00121,0.00010993397952770812,14,67,18,18.49
100,2,1,12,0.00116,0.00010764134831280523,14,74,19,19.55
101,2,1,12,0.001073,3.273911640300854e-05,14,75,19,19.56
102,2,1,12,0.00121,0.00010993397952770812,14,70,19,19.51
103,2,1,12,0.00114,0.00010671043937299996,14,78,15,15.63
104,2,1,12,0.0016982979831161908,0.00014497302730769865,14,79,14,14.65
105,2,1,12,0.001026,3.201481452309773e-05,14,69,15,15.540000000000001
106,2,1,12,0.00121,0.00010993397952770812,14,69,17,17.52
107,2,1,12,0.00122,0.00011038676484243264,14,76,13,13.63
108,2,1,12,0.00105,0.00010241620912140277,14,75,15,15.6
109,2,1,12,0.00127,0.00011262325621281956,14,72,19,19.53
110,2,1,12,0.00101,0.00010044849376172343,14,80,21,21.59
111,2,1,12,0.00132,0.00011481597374528624,14,74,16,16.58
112,2,1,12,0.00113,0.0001062419120377581,14,80,18,18.62
113,2,1,12,0.00118,0.00010856423841182056,14,79,16,16.63
114,2,1,12,0.0014860130378662154,0.00012686498369512072,14,71,22,22.49
115,2,1,12,0.00128,0.00011306521939764843,14,74,17,17.57
116,2,1,12,0.00109,0.00010434667163967822,14,72,23,23.49
117,2,1,12,0.00129,0.0001135054528860986,14,80,18,18.62
118,2,1,12,0.00104,0.00010192785631454694,14,77,18,18.59
119,2,1,12,0.00118,0.00010856423841182056,14,78,19,19.59
120,2,1,12,0.0011,0.00010482370857825438,14,76,19,19.57
121,2,1,12,0.00109,0.00010434667163967822,14,74,16,16.58
122,2,1,12,0.00104,0.00010192785631454694,14,72,19,19.53
123,2,1,12,0.0013725391975154034,0.00011718402209102163,14,77,21,21.56
124,2,1,12,0.00121,0.00010993397952770812,14,73,18,18.55
125,2,1,12,0.00098,9.894692468661695e-05,14,71,19,19.52
126,2,1,12,0.001581748698232367,0.00013503177140195916,14,71,22,22.49
127,2,1,12,0.00136,0.0001165402926733847,14,76,19,19.57
128,2,1,12,0.00115,0.00010717690921508551,14,72,15,15.57
129,2,1,12,0.00112,0.0001057712998675858,14,76,20,20.56
130,2,1,12,0.00122,0.00011038676484243266,14,69,18,18.51
131,2,1,12,0.00109,0.00010434667163967822,14,80,17,17.63
132,2,1,12,0.00124,0.00011128678199803634,14,75,21,21.54
133,2,1,12,0.00133,0.00011524948513741068,14,77,19,19.58
134,2,1,12,0.00125,0.00011173405857212229,14,77,13,13.64
135,2,1,12,0.00124,0.00011128678199803637,14,68,20,20.48
136,2,1,12,0.0011,0.00010482370857825438,14,79,20,20.59
137,2,1,12,0.00113,0.0001062419120377581,14,70,16,16.54
138,2,1,12,0.0011,0.00010482370857825435,14,78,16,16.62
139,2,1,12,0.0014262662016553017,0.00012176784974725752,14,71,22,22.49
140,2,1,12,0.00118,0.00010856423841182056,14,83,21,21.62
141,2,1,12,0.00117,0.00010810378283981854,14,71,15,15.56
142,2,1,12,0.00114,0.00010671043937299999,14,80,17,17.63
143,2,1,12,0.00105,0.00010241620912140276,14,73,21,21.52
144,2,1,12,0.00127,0.00011262325621281956,14,71,19,19.52
145,2,1,12,0.00112,0.00010577129986758579,14,72,19,19.53
