idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
79,436,1,8,0.00639,0.000251976812272755,10,21,5,8.572237999999999
80,439,1,8,0.00511,0.00022547591311240754,10,21,3,7.183578
81,443,1,8,0.00569,0.00023785879165599,10,21,3,7.183578
82,467,1,8,0.00586,0.00024136525551923522,10,17,4,7.440288999999999
83,468,1,8,0.00514,0.0002261334016972142,10,21,3,7.183578
84,473,1,8,0.00493,0.0002214891455002158,10,19,3,6.686718
85,477,1,8,0.0057,0.000238066517504389,10,21,3,7.183578
86,478,1,8,0.00578,0.0002397216941891297,10,21,3,7.183578
87,483,1,8,0.00525,0.00022852767282973083,10,21,3,7.183578
88,484,1,8,0.00535,0.00023068226447447456,10,21,3,7.183578
89,486,1,8,0.00532,0.00023003805158071505,10,21,3,7.183578
90,497,1,8,0.00525,0.00022852767282973083,10,21,3,7.183578
91,501,1,8,0.00561,0.00023619025563805245,10,21,3,7.183578
92,502,1,8,0.00533,0.000230252993822907,10,21,3,7.183578
93,508,1,8,0.00521,0.00022766000371337282,10,21,3,7.183578
94,510,1,8,0.00468,0.00021582734260148348,10,21,3,7.183578
95,527,1,8,0.00525,0.00022852767282973083,10,20,2,6.054659
96,531,1,8,0.0057,0.00023806651750438905,10,21,4,7.6696089999999995
97,533,1,8,0.00629,0.0002500099679009628,10,21,5,8.572237999999999
98,540,1,8,0.0062,0.00024822613915976216,10,21,5,8.572237999999999
99,543,1,8,0.00503,0.0002237129667116207,10,21,3,7.183578
100,556,1,8,0.00623,0.0002488222058516909,10,21,5,8.572237999999999
101,562,1,8,0.00593,0.0002427940289410036,10,20,4,7.443319
102,565,1,8,0.00511,0.00022547591311240754,10,21,3,7.183578
103,571,1,8,0.00532,0.00023003805158071505,10,17,4,6.675889
104,576,1,8,0.00649,0.000253928028768858,10,18,6,9.099518999999997
105,577,1,8,0.00484,0.00021946805157529566,10,21,3,7.183578
106,583,1,8,0.00458,0.00021351976935852818,10,21,3,7.183578
107,585,1,8,0.00496,0.00022215867650122385,10,19,3,6.686718
108,587,1,8,0.00462,0.00021444583435021233,10,21,3,7.183578
109,591,1,8,0.00493,0.0002214891455002158,10,21,3,7.183578
110,595,1,8,0.00512,0.00022569529322441308,10,19,4,7.589347
111,597,1,8,0.00576,0.00023930899834307708,10,20,4,7.25392
112,603,1,8,0.00521,0.0002276600037133728,10,19,3,6.686718
113,609,1,8,0.00516,0.00022657064536822375,10,19,3,6.686718
114,610,1,8,0.00506,0.00022437572828778622,10,19,3,6.686718
115,618,1,8,0.00619,0.000248027123868624,10,18,4,6.75706
116,624,1,8,0.00475,0.00021742779893214545,10,19,3,6.686718
117,634,1,8,0.00474,0.0002171998981536538,10,19,3,6.512817
118,650,1,8,0.00545,0.0002328164878937279,10,21,3,7.183578
119,656,1,8,0.00537,0.00023111072048187468,10,21,3,7.183578
120,678,1,8,0.00527,0.0002289602481391743,10,20,2,6.054659
121,692,1,8,0.00528,0.00022917622306297872,10,21,3,7.183578
122,696,1,8,0.005,0.00022304819547572013,10,21,3,7.183578
123,701,1,8,0.0047,0.0002162858474234455,10,21,3,7.183578
124,704,1,8,0.00481,0.0002187901224716896,10,21,3,7.183578
125,705,1,8,0.00474,0.0002171998981536538,10,21,3,7.183578
126,708,1,8,0.00563,0.00023660851809668304,10,19,4,7.589347
127,714,1,8,0.00464,0.00021490734247963357,10,21,3,7.183578
128,717,1,8,0.00458,0.00021351976935852815,10,21,3,7.183578
129,718,1,8,0.00532,0.00023003805158071505,10,21,3,7.183578
130,729,1,8,0.00507,0.00022459620529865216,10,17,4,6.675889
131,731,1,8,0.00525,0.00022852767282973083,10,21,2,6.280948999999999
132,736,1,8,0.00471,0.0002165147287975528,10,21,3,7.183578
133,741,1,8,0.00508,0.0002248164616401883,10,21,3,7.183578
134,743,1,8,0.0044,0.00020930083150427447,10,18,3,6.444929999999999
135,750,1,8,0.00765,0.0002755277375425958,10,18,7,9.61012
136,754,1,8,0.00487,0.00022014385213572587,10,17,4,7.440288999999999
137,763,1,8,0.00524,0.0002283110712590447,10,21,4,8.086206999999998
138,767,1,8,0.00438,0.00020882670347903515,10,21,3,7.183578
139,768,1,8,0.00723,0.00026791414441922957,10,22,8,9.310058
140,772,1,8,0.00586,0.00024136525551923522,10,21,5,8.572237999999999
141,776,1,8,0.00551,0.00023408747717353377,10,19,4,7.172749
142,785,1,8,0.00494,0.00022171255166218178,10,18,3,6.04383
143,790,1,8,0.00537,0.00023111072048187468,10,19,3,6.686718
144,798,1,8,0.00475,0.00021742779893214545,10,21,3,7.183578
145,814,1,8,0.00417,0.00020378058363166657,10,19,2,5.784088999999999
146,819,1,8,0.00478,0.0002181100449771106,10,21,3,7.183578
147,820,1,8,0.00444,0.00021024582286709127,10,18,4,7.3475589999999995
148,823,1,8,0.00507,0.00022459620529865216,10,19,4,7.172749
149,834,1,8,0.00472,0.00021674336385886826,10,17,3,6.189858000000001
150,836,1,8,0.00529,0.00022939199028486598,10,17,4,7.440288999999999
151,843,1,8,0.0043,0.00020691913433822773,10,19,2,5.784088999999999
152,847,1,8,0.00446,0.00021071670084566184,10,19,2,5.784088999999999
153,855,1,8,0.00483,0.00021924231268602489,10,21,3,7.183578
154,858,1,8,0.00471,0.0002165147287975528,10,19,3,6.2701199999999995
155,865,1,8,0.00417,0.0002037805836316666,10,19,2,5.784088999999999
156,871,1,8,0.00424,0.00020547663177710026,10,21,2,5.961929
157,877,1,8,0.00476,0.0002176554564879488,10,21,3,7.183578
158,880,1,8,0.00571,0.00023827405806186176,10,17,3,6.53766
159,907,1,8,0.00465,0.00021513771831638086,10,21,3,7.183578
160,908,1,8,0.00541,0.00023196520661204943,10,21,4,7.6696089999999995
161,909,1,8,0.0052,0.0002274425582453139,10,19,4,7.172749
162,913,1,8,0.00493,0.0002214891455002158,10,21,3,7.183578
163,917,1,8,0.00704,0.0002643956940852678,10,16,6,8.413260000000001
164,919,1,8,0.00478,0.00021811004497711053,10,21,3,7.183578
165,920,1,8,0.00472,0.00021674336385886826,10,21,3,7.183578
166,921,1,8,0.00558,0.00023556143761640805,10,21,3,7.183578
167,924,1,8,0.00485,0.00021969355396227842,10,18,3,6.444929999999999
168,928,1,8,0.00497,0.00022238139655748033,10,18,3,6.444929999999999
169,931,1,8,0.00463,0.00021467671476179854,10,18,3,6.444929999999999
170,933,1,8,0.00474,0.0002171998981536538,10,18,3,6.444929999999999
171,934,1,8,0.00486,0.00021991882057449382,10,18,3,6.444929999999999
172,935,1,8,0.00478,0.0002181100449771106,10,18,3,6.444929999999999
173,946,1,8,0.00491,0.00022104164221719834,10,18,3,6.444929999999999
174,952,1,8,0.0063,0.0002502073660731442,10,19,5,8.075377999999999
175,955,1,8,0.00472,0.00021674336385886826,10,18,3,6.444929999999999
176,972,1,8,0.0047,0.00021628584742344544,10,17,2,5.46113
177,973,1,8,0.00409,0.00020182449388333245,10,19,2,5.784088999999999
178,976,1,8,0.00386,0.00019609025604013357,10,19,2,5.784088999999999
179,986,1,8,0.00447,0.00021095173857155113,10,19,2,5.784088999999999
180,991,1,8,0.00473,0.00021697175338605173,10,17,3,6.53766
181,1000,1,8,0.00473,0.00021697175338605173,10,19,2,5.784088999999999
182,1004,1,8,0.00559,0.00023577123420966524,10,19,4,7.172749
183,1010,1,8,0.00419,0.00020426663028640403,10,19,2,5.784088999999999
184,1013,1,8,0.00448,0.00021118650997973317,10,19,2,5.784088999999999
185,1015,1,8,0.00447,0.00021095173857155113,10,19,2,5.784088999999999
186,1033,1,8,0.00405,0.0002008391853294163,10,19,2,5.784088999999999
187,1038,1,8,0.00542,0.0002321783260077277,10,17,3,6.363759
188,1042,1,8,0.00432,0.000207397700416522,10,19,2,5.784088999999999
189,1043,1,8,0.00472,0.0002167433638588683,10,17,3,6.53766
190,1049,1,8,0.00433,0.0002076365626025948,10,19,2,5.784088999999999
191,1051,1,8,0.00533,0.00023025299382290694,10,17,4,6.675889
192,1052,1,8,0.00447,0.00021095173857155108,10,19,2,5.784088999999999
193,1053,1,8,0.00414,0.00020304929522202956,10,19,2,5.784088999999999
194,1058,1,8,0.0046,0.00021398331217311985,10,19,2,5.784088999999999
195,1061,1,8,0.00567,0.00023744278214076736,10,19,4,7.172749
196,1064,1,8,0.00461,0.00021421470042781563,10,21,2,5.961929
197,1076,1,8,0.00431,0.0002071585579856199,10,21,2,5.961929
198,1089,1,8,0.00433,0.0002076365626025948,10,21,2,5.961929
199,1091,1,8,0.00471,0.0002165147287975528,10,21,2,5.961929
