method,C,code_family,n_runs,method_best_distance,runs_reaching_method_best,success_rate_at_method_best,comparison_target_distance,runs_reaching_comparison_target,success_rate_at_comparison_target,median_best_distance,q25_best_distance,q75_best_distance,min_best_distance,max_best_distance,median_final_distance,q25_final_distance,q75_final_distance,best_score_at_method_best_distance,best_ler_at_method_best_distance,median_runtime_seconds,total_runtime_seconds,median_records_evaluated
beam,0,"[625,25]",10,9.0,9,0.9,9.0,9,0.9,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9282000099.999996,0.00302,2752.76,29242.800000000003,2606.5
greedy,0,"[625,25]",10,9.0,4,0.4,9.0,4,0.4,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9282000099.999996,0.00276,856.075,8348.33,2279.5
beam,1,"[1225,49]",10,11.0,7,0.7,11.0,7,0.7,11.0,10.25,11.0,10.0,11.0,11.0,10.25,11.0,106540183.99999996,0.00148,3028.25,32484.34,6568.0
greedy,1,"[1225,49]",10,11.0,3,0.3,11.0,3,0.3,10.0,10.0,10.75,10.0,11.0,10.0,10.0,10.75,120635081.99999996,0.00161,1025.79,9933.15,1256.0
beam,2,"[1600,64]",10,12.0,10,1.0,12.0,10,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,20830981.999999993,0.00113,2966.235,33777.2,2049.0
greedy,2,"[1600,64]",10,12.0,10,1.0,12.0,10,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,22732521.999999993,0.0011,1083.375,11111.160000000002,685.0
beam,3,"[2025,81]",10,12.0,10,1.0,12.0,10,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,4436806.999999999,0.00077,4589.1900000000005,51554.47,3548.0
greedy,3,"[2025,81]",10,12.0,10,1.0,12.0,10,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,6800937.999999998,0.00065,1720.89,17971.469999999998,1102.0
